age,value
0,250.843
1,233.995
2,222.838
3,213.691
4,206.01
5,197.696
6,191.117
7,184.453
8,177.755
9,171.575
10,164.735
11,158.167
12,152.099
13,146.65
14,141.392
15,136.129
16,130.833
17,125.312
18,119.575
19,113.669
20,107.675
21,101.701
22,95.863
23,90.224
24,84.847
25,79.8
26,75.109
27,70.796
28,66.852
29,63.485
30,59.577
31,55.435
32,55.207
33,53.221
34,50.989
35,48.785
36,46.755
37,44.93
38,43.311
39,41.88
40,40.667
41,39.655
42,38.441
43,37.087
44,35.772
45,34.708
46,33.653
47,32.57
48,31.491
49,30.428
50,29.427
51,28.431
52,27.481
53,26.558
54,25.648
55,24.732
56,23.846
57,22.92
58,21.967
59,21.009
60,20.066
61,19.107
62,18.185
63,17.292
64,16.394
65,15.487
66,14.649
67,13.795
68,12.926
69,12.056
70,11.194
71,10.336
72,9.496
73,8.666
74,7.856
75,7.068
76,6.284
77,5.555
78,4.871
79,4.228
80,3.633
81,3.104
82,2.586
83,2.097
84,1.672
85,1.319
86,1.014
87,0.79
88,0.622
89,0.485
90,0.365
91,0.275
92,0.202
93,0.143
94,0.099
95,0.067
96,0.045
97,0.029
98,0.019
99,0.011
100,0.014
