Time,Sex,AgeGrpStart,mx
1970,Male,0,0.11873694
1970,Male,1,0.02352242
1970,Male,5,0.00547222
1970,Male,10,0.00317517
1970,Male,15,0.00373135
1970,Male,20,0.00519585
1970,Male,25,0.0056894
1970,Male,30,0.00637353
1970,Male,35,0.00756717
1970,Male,40,0.00910435
1970,Male,45,0.01126717
1970,Male,50,0.01489775
1970,Male,55,0.01965744
1970,Male,60,0.02867801
1970,Male,65,0.04266658
1970,Male,70,0.06624816
1970,Male,75,0.10212511
1970,Male,80,0.15404262
1970,Male,85,0.22566876
1970,Male,90,0.31169836
1970,Male,95,0.41723134
1970,Male,100,0.53282182
1980,Male,0,0.10431437
1980,Male,1,0.01910703
1980,Male,5,0.00458974
1980,Male,10,0.00276662
1980,Male,15,0.00340608
1980,Male,20,0.00481765
1980,Male,25,0.00538293
1980,Male,30,0.00614286
1980,Male,35,0.00740391
1980,Male,40,0.00900953
1980,Male,45,0.01124928
1980,Male,50,0.01491958
1980,Male,55,0.01972903
1980,Male,60,0.02871858
1980,Male,65,0.04256064
1980,Male,70,0.06576456
1980,Male,75,0.10095483
1980,Male,80,0.15200735
1980,Male,85,0.22231696
1980,Male,90,0.30717954
1980,Male,95,0.41119067
1980,Male,100,0.52595592
1990,Male,0,0.11946923
1990,Male,1,0.02375367
1990,Male,5,0.00582405
1990,Male,10,0.00362867
1990,Male,15,0.0046321
1990,Male,20,0.00698038
1990,Male,25,0.00845387
1990,Male,30,0.01006004
1990,Male,35,0.01217959
1990,Male,40,0.01432405
1990,Male,45,0.0169874
1990,Male,50,0.02116872
1990,Male,55,0.02640487
1990,Male,60,0.03671692
1990,Male,65,0.05124094
1990,Male,70,0.07352307
1990,Male,75,0.10668259
1990,Male,80,0.15614889
1990,Male,85,0.22741043
1990,Male,90,0.31287216
1990,Male,95,0.41742655
1990,Male,100,0.53219798
2000,Male,0,0.10524592
2000,Male,1,0.01942207
2000,Male,5,0.00515744
2000,Male,10,0.00358755
2000,Male,15,0.00520459
2000,Male,20,0.00867488
2000,Male,25,0.01197881
2000,Male,30,0.01553163
2000,Male,35,0.0195452
2000,Male,40,0.02273118
2000,Male,45,0.02600787
2000,Male,50,0.030535
2000,Male,55,0.03592944
2000,Male,60,0.04736253
2000,Male,65,0.06162243
2000,Male,70,0.08106885
2000,Male,75,0.11028146
2000,Male,80,0.15695574
2000,Male,85,0.22836269
2000,Male,90,0.31389941
2000,Male,95,0.41849654
2000,Male,100,0.53327645
2010,Male,0,0.05894725
2010,Male,1,0.00770143
2010,Male,5,0.00220357
2010,Male,10,0.00168215
2010,Male,15,0.00275207
2010,Male,20,0.00461186
2010,Male,25,0.00643782
2010,Male,30,0.00862667
2010,Male,35,0.01140167
2010,Male,40,0.01413472
2010,Male,45,0.01731676
2010,Male,50,0.02153203
2010,Male,55,0.02668482
2010,Male,60,0.03623417
2010,Male,65,0.04942674
2010,Male,70,0.07099431
2010,Male,75,0.10541224
2010,Male,80,0.15776773
2010,Male,85,0.22931986
2010,Male,90,0.31493096
2010,Male,95,0.41956868
2010,Male,100,0.5343022
2020,Male,0,0.04731232
2020,Male,1,0.00535847
2020,Male,5,0.00158163
2020,Male,10,0.00120091
2020,Male,15,0.0018665
2020,Male,20,0.00287653
2020,Male,25,0.00365657
2020,Male,30,0.00474496
2020,Male,35,0.00655268
2020,Male,40,0.0088951
2020,Male,45,0.01211441
2020,Male,50,0.01677145
2020,Male,55,0.02338179
2020,Male,60,0.03414328
2020,Male,65,0.05053345
2020,Male,70,0.07612303
2020,Male,75,0.11576799
2020,Male,80,0.17863447
2020,Male,85,0.27185628
2020,Male,90,0.36041966
2020,Male,95,0.46504812
2020,Male,100,0.57833555
1970,Female,0,0.11018452
1970,Female,1,0.02087056
1970,Female,5,0.00508518
1970,Female,10,0.00319533
1970,Female,15,0.0036608
1970,Female,20,0.00466106
1970,Female,25,0.00546201
1970,Female,30,0.00612981
1970,Female,35,0.00697115
1970,Female,40,0.00795036
1970,Female,45,0.00912201
1970,Female,50,0.01187075
1970,Female,55,0.01588329
1970,Female,60,0.02415376
1970,Female,65,0.03741701
1970,Female,70,0.06018855
1970,Female,75,0.09325584
1970,Female,80,0.14024703
1970,Female,85,0.20624995
1970,Female,90,0.28861301
1970,Female,95,0.39025112
1970,Female,100,0.50743391
1980,Female,0,0.09638558
1980,Female,1,0.01690897
1980,Female,5,0.0041848
1980,Female,10,0.00266195
1980,Female,15,0.00310524
1980,Female,20,0.00394094
1980,Female,25,0.00460799
1980,Female,30,0.00521124
1980,Female,35,0.00600366
1980,Female,40,0.00696371
1980,Female,45,0.00813375
1980,Female,50,0.01072092
1980,Female,55,0.01449157
1980,Female,60,0.02218146
1980,Female,65,0.03455704
1980,Female,70,0.05592275
1980,Female,75,0.08731795
1980,Female,80,0.13253025
1980,Female,85,0.19656822
1980,Female,90,0.27716321
1980,Female,95,0.37737653
1980,Female,100,0.49421765
1990,Female,0,0.10970024
1990,Female,1,0.02083007
1990,Female,5,0.00513442
1990,Female,10,0.00343227
1990,Female,15,0.00434799
1990,Female,20,0.00612383
1990,Female,25,0.00784826
1990,Female,30,0.00922593
1990,Female,35,0.01069299
1990,Female,40,0.01203217
1990,Female,45,0.01360858
1990,Female,50,0.01707013
1990,Female,55,0.02199741
1990,Female,60,0.03188726
1990,Female,65,0.046156
1990,Female,70,0.06673581
1990,Female,75,0.09463804
1990,Female,80,0.13595276
1990,Female,85,0.20092388
1990,Female,90,0.28246738
1990,Female,95,0.38354713
1990,Female,100,0.50085145
2000,Female,0,0.09496611
2000,Female,1,0.01652883
2000,Female,5,0.00419533
2000,Female,10,0.00316284
2000,Female,15,0.00482802
2000,Female,20,0.00799384
2000,Female,25,0.01178734
2000,Female,30,0.01491571
2000,Female,35,0.01783887
2000,Female,40,0.01970266
2000,Female,45,0.02184941
2000,Female,50,0.02590114
2000,Female,55,0.03151661
2000,Female,60,0.04243048
2000,Female,65,0.05727931
2000,Female,70,0.07499103
2000,Female,75,0.09765169
2000,Female,80,0.13350754
2000,Female,85,0.1978131
2000,Female,90,0.27868581
2000,Female,95,0.37916387
2000,Female,100,0.49617942
2010,Female,0,0.0514345
2010,Female,1,0.00624671
2010,Female,5,0.00172819
2010,Female,10,0.0014083
2010,Female,15,0.00237855
2010,Female,20,0.00390938
2010,Female,25,0.00574116
2010,Female,30,0.00751173
2010,Female,35,0.00946841
2010,Female,40,0.01118499
2010,Female,45,0.01332435
2010,Female,50,0.01655851
2010,Female,55,0.02092536
2010,Female,60,0.02878939
2010,Female,65,0.04112317
2010,Female,70,0.06041989
2010,Female,75,0.08898013
2010,Female,80,0.13107072
2010,Female,85,0.19471561
2010,Female,90,0.27492103
2010,Female,95,0.37479779
2010,Female,100,0.49152126
2020,Female,0,0.04099929
2020,Female,1,0.00439031
2020,Female,5,0.00126205
2020,Female,10,0.00094395
2020,Female,15,0.00136058
2020,Female,20,0.00185308
2020,Female,25,0.0023735
2020,Female,30,0.00303463
2020,Female,35,0.0040956
2020,Female,40,0.00544215
2020,Female,45,0.0073886
2020,Female,50,0.01048549
2020,Female,55,0.01493503
2020,Female,60,0.02272731
2020,Female,65,0.03595774
2020,Female,70,0.05820302
2020,Female,75,0.09043059
2020,Female,80,0.13822507
2020,Female,85,0.20955701
2020,Female,90,0.29011418
2020,Female,95,0.38933148
2020,Female,100,0.50489751
2030,Male,0,0.04208265
2030,Male,1,0.00499886
2030,Male,5,0.00148485
2030,Male,10,0.00109956
2030,Male,15,0.00179265
2030,Male,20,0.00280004
2030,Male,25,0.00353098
2030,Male,30,0.00451085
2030,Male,35,0.00597074
2030,Male,40,0.0078357
2030,Male,45,0.01039482
2030,Male,50,0.01419225
2030,Male,55,0.01912764
2030,Male,60,0.02771226
2030,Male,65,0.04086174
2030,Male,70,0.06392092
2030,Male,75,0.10065354
2030,Male,80,0.15462526
2030,Male,85,0.2260036
2030,Male,90,0.31218377
2030,Male,95,0.41768194
2030,Male,100,0.53853196
2030,Female,0,0.03363119
2030,Female,1,0.00368943
2030,Female,5,0.0010693
2030,Female,10,0.0007946
2030,Female,15,0.00117636
2030,Female,20,0.00163804
2030,Female,25,0.00210672
2030,Female,30,0.00268728
2030,Female,35,0.00353482
2030,Female,40,0.00468168
2030,Female,45,0.00624405
2030,Female,50,0.00884038
2030,Female,55,0.01249365
2030,Female,60,0.01916478
2030,Female,65,0.03029746
2030,Female,70,0.05028267
2030,Female,75,0.08100763
2030,Female,80,0.12557603
2030,Female,85,0.18817462
2030,Female,90,0.26788838
2030,Female,95,0.3677669
2030,Female,100,0.48355899
