Age,Males Percentage VLS,Males Number,Females Percentage VLS,Females Number,Total Percentage VLS,Total Number
0-4,*,13,*,6,*,19
5-9,(22.4),30,*,21,22.5,51
10-14,*,9,*,11,*,20
15-19,(42.5),25,25.1,67,30.7,92
20-24,(31.1),28,37.5,166,36.3,194
25-29,36.8,53,57.2,220,52.0,273
30-34,36.6,107,55.2,295,49.1,402
35-39,51.9,115,69.7,280,63.1,395
40-44,66.7,161,70.8,290,69.0,451
45-49,66.0,122,72.5,155,69.3,277
50-54,78.3,95,71.6,114,75.1,209
55-59,82.3,52,76.1,68,79.0,120
Total 15-24,36.7,53,33.6,233,34.3,286
Total 15-49,52.5,611,58.9,"1,473",56.6,"2,084"
Total 15-59,57.2,758,60.4,"1,655",59.2,"2,413"
