,Time,Sex,AgeStart,Value
2,1985,Both sexes,0,294877.5
5,1985,Both sexes,1,271839.0
8,1985,Both sexes,2,256377.5
11,1985,Both sexes,3,244384.5
14,1985,Both sexes,4,234985.5
17,1985,Both sexes,5,228364.0
20,1985,Both sexes,6,223124.5
23,1985,Both sexes,7,217832.5
26,1985,Both sexes,8,212221.5
29,1985,Both sexes,9,206479.0
32,1985,Both sexes,10,199635.0
35,1985,Both sexes,11,192161.5
38,1985,Both sexes,12,185300.0
41,1985,Both sexes,13,178290.5
44,1985,Both sexes,14,171461.5
47,1985,Both sexes,15,164373.0
50,1985,Both sexes,16,157381.5
53,1985,Both sexes,17,150815.0
56,1985,Both sexes,18,144390.5
59,1985,Both sexes,19,138356.5
62,1985,Both sexes,20,132434.5
65,1985,Both sexes,21,126658.0
68,1985,Both sexes,22,120859.0
71,1985,Both sexes,23,115057.0
74,1985,Both sexes,24,109457.0
77,1985,Both sexes,25,103833.5
80,1985,Both sexes,26,98261.5
83,1985,Both sexes,27,92917.0
86,1985,Both sexes,28,87865.0
89,1985,Both sexes,29,83196.0
92,1985,Both sexes,30,78858.0
95,1985,Both sexes,31,74745.5
98,1985,Both sexes,32,70883.5
1,1985,Both sexes,33,67296.5
4,1985,Both sexes,34,64114.00000000001
7,1985,Both sexes,35,59303.5
10,1985,Both sexes,36,53955.0
13,1985,Both sexes,37,52015.0
16,1985,Both sexes,38,51231.0
19,1985,Both sexes,39,49397.0
22,1985,Both sexes,40,47413.5
25,1985,Both sexes,41,45500.0
28,1985,Both sexes,42,43753.5
31,1985,Both sexes,43,42189.0
34,1985,Both sexes,44,40806.0
37,1985,Both sexes,45,39608.5
40,1985,Both sexes,46,38604.0
43,1985,Both sexes,47,37588.0
46,1985,Both sexes,48,36390.0
49,1985,Both sexes,49,35127.0
52,1985,Both sexes,50,33988.0
55,1985,Both sexes,51,32959.5
58,1985,Both sexes,52,31908.0
61,1985,Both sexes,53,30834.5
64,1985,Both sexes,54,29765.0
67,1985,Both sexes,55,28728.5
70,1985,Both sexes,56,27721.0
73,1985,Both sexes,57,26735.0
76,1985,Both sexes,58,25776.0
79,1985,Both sexes,59,24823.5
82,1985,Both sexes,60,23854.5
85,1985,Both sexes,61,22884.5
88,1985,Both sexes,62,21898.5
91,1985,Both sexes,63,20864.5
94,1985,Both sexes,64,19807.5
97,1985,Both sexes,65,18755.5
0,1985,Both sexes,66,17741.0
3,1985,Both sexes,67,16729.0
6,1985,Both sexes,68,15734.0
9,1985,Both sexes,69,14757.0
12,1985,Both sexes,70,13781.0
15,1985,Both sexes,71,12819.5
18,1985,Both sexes,72,11864.0
21,1985,Both sexes,73,10899.0
24,1985,Both sexes,74,9944.5
27,1985,Both sexes,75,9012.5
30,1985,Both sexes,76,8110.5
33,1985,Both sexes,77,7248.5
36,1985,Both sexes,78,6425.5
39,1985,Both sexes,79,5646.5
42,1985,Both sexes,80,4914.0
45,1985,Both sexes,81,4228.0
48,1985,Both sexes,82,3594.5
51,1985,Both sexes,83,3019.0
54,1985,Both sexes,84,2501.0
57,1985,Both sexes,85,2041.9999999999998
60,1985,Both sexes,86,1648.0
63,1985,Both sexes,87,1306.0
66,1985,Both sexes,88,1006.5
69,1985,Both sexes,89,758.5
72,1985,Both sexes,90,561.5
75,1985,Both sexes,91,407.5
78,1985,Both sexes,92,294.5
81,1985,Both sexes,93,213.0
84,1985,Both sexes,94,154.5
87,1985,Both sexes,95,109.0
90,1985,Both sexes,96,74.5
93,1985,Both sexes,97,50.0
96,1985,Both sexes,98,34.0
99,1985,Both sexes,99,21.0
2,1985,Both sexes,100,32.0
