time,n_alive,hiv_prevalence_15_49,hiv_n_infected,hiv_new_infections,hiv_new_deaths
1990,7589255,0.091,290000,89000,12000
1991,7783547,0.106,370000,100000,16000
1992,7977384,0.119,450000,110000,20000
1993,8171291,0.129,520000,110000,25000
1994,8370544,0.136,600000,110000,31000
1995,8577888,0.141,660000,110000,36000
1996,8790381,0.143,720000,110000,42000
1997,9013657,0.143,770000,110000,47000
1998,9252656,0.142,810000,100000,52000
1999,9492204,0.14,840000,99000,57000
2000,9750273,0.137,870000,96000,61000
2001,10031998,0.134,900000,93000,66000
2002,10351930,0.131,910000,91000,70000
2003,10664659,0.128,930000,89000,70000
2004,11011287,0.125,950000,85000,68000
2005,11364793,0.123,960000,82000,66000
2006,11764946,0.121,980000,79000,62000
2007,12178189,0.12,1000000,76000,54000
2008,12625957,0.119,1000000,71000,43000
2009,13079974,0.119,1100000,69000,37000
2010,13556200,0.119,1100000,68000,36000
2011,14027973,0.119,1100000,66000,34000
2012,14503655,0.12,1100000,65000,32000
2013,14985661,0.12,1200000,63000,30000
2014,15484291,0.12,1200000,60000,28000
2015,15991295,0.12,1200000,58000,28000
2016,16505165,0.12,1200000,55000,25000
2017,17030356,0.12,1200000,53000,24000
2018,17565751,0.119,1300000,50000,26000
2019,18106035,0.117,1300000,42000,25000
2020,18654918,0.113,1300000,36000,24000
2021,19200512,0.108,1300000,31000,21000
2022,19745738,0.103,1300000,29000,19000
2023,20289612,0.098,1300000,26000,18000
2024,20849863,,1300000,25000,17000
2025,,,1300000,23000,16000
